,DC,month,DMC,temp,RH,FFMC,ISI,wind,rain,X
43,698.6,9,88.0,19.6,48,92.5,7.1,2.7,0.0,4
44,735.7,9,82.9,12.9,74,90.1,6.2,4.9,0.0,4
45,692.3,9,85.1,25.9,24,94.3,15.9,4.0,0.0,5
46,686.5,9,126.5,14.7,70,90.9,7.0,3.6,0.0,5
47,442.9,7,62.3,23.0,36,94.2,11.0,3.1,0.0,6
48,64.7,3,23.9,11.8,35,87.2,4.1,1.8,0.0,4
49,103.8,3,52.2,11.0,46,87.6,5.0,5.8,0.0,4
50,706.4,9,137.0,20.8,17,92.9,9.2,1.3,0.0,4
51,631.2,8,99.6,21.5,34,90.2,6.3,2.2,0.0,4
52,654.1,8,111.2,20.4,42,92.1,9.6,4.9,0.0,4
53,654.1,8,111.2,20.4,42,92.1,9.6,4.9,0.0,4
54,661.3,8,114.3,17.6,45,91.7,6.3,3.6,0.0,4
55,706.4,9,137.0,27.7,24,92.9,9.2,2.2,0.0,4
56,730.2,9,80.7,17.8,63,90.3,6.3,4.9,0.0,4
57,691.8,10,46.5,13.8,50,92.6,8.8,2.7,0.0,4
58,34.0,2,9.3,13.9,40,84.0,2.1,5.4,0.0,2
59,43.0,2,13.2,12.3,51,86.6,5.3,0.9,0.0,2
60,102.2,3,51.3,11.5,39,89.3,9.6,5.8,0.0,2
61,102.2,3,51.3,5.5,59,89.3,9.6,6.3,0.0,2
62,466.6,8,75.3,18.8,35,93.0,7.7,4.9,0.0,2
63,631.2,8,99.6,20.8,33,90.2,6.3,2.7,0.0,2
64,638.8,8,103.2,23.1,31,91.1,5.8,3.1,0.0,2
65,661.3,8,114.3,18.6,44,91.7,6.3,4.5,0.0,2
66,668.0,9,117.9,23.0,37,92.4,12.2,4.5,0.0,2
67,668.0,9,117.9,19.6,33,92.4,12.2,5.4,0.0,2
68,668.0,9,117.9,19.6,33,92.4,12.2,6.3,0.0,2
69,77.5,3,33.3,17.2,26,91.7,9.0,4.5,0.0,4
70,97.8,3,48.3,15.8,27,91.2,12.5,7.6,0.0,4
71,692.3,9,85.1,17.7,37,94.3,15.9,3.6,0.0,4
72,77.5,3,33.3,15.6,25,91.7,9.0,6.3,0.0,5
73,614.5,8,147.3,17.3,43,88.8,9.0,4.5,0.0,5
74,713.9,9,141.2,27.6,30,93.3,13.9,1.3,0.0,5
75,26.6,2,6.8,6.7,79,84.2,7.7,3.1,0.0,9
76,43.0,2,13.2,15.7,43,86.6,5.3,3.1,0.0,9
77,103.8,3,52.2,8.3,72,87.6,5.0,3.1,0.0,1
78,529.8,8,108.0,14.7,66,90.1,12.5,2.7,0.0,1
79,561.6,8,121.2,21.6,19,91.0,7.0,6.7,0.0,1
80,601.4,8,142.4,19.5,39,91.4,10.6,6.3,0.0,1
81,631.2,8,99.6,17.9,44,90.2,6.3,2.2,0.0,1
82,647.1,8,108.3,18.6,51,94.8,17.0,4.5,0.0,1
83,654.1,8,111.2,16.6,47,92.1,9.6,0.9,0.0,1
84,661.3,8,114.3,20.2,45,91.7,6.3,3.6,0.0,1
85,706.4,9,137.0,21.5,15,92.9,9.2,0.9,0.0,1
86,706.4,9,137.0,25.4,27,92.9,9.2,2.2,0.0,1
87,706.4,9,137.0,22.4,34,92.9,9.2,2.2,0.0,1
88,728.6,9,149.3,25.3,36,93.5,8.1,3.6,0.0,1
89,80.8,3,35.8,17.4,25,91.7,7.8,4.9,0.0,6
90,624.2,8,96.9,14.7,59,90.2,8.9,5.8,0.0,6
91,80.8,3,35.8,17.4,24,91.7,7.8,5.4,0.0,8
92,488.0,8,85.3,20.8,32,92.3,14.7,6.3,0.0,8
93,601.4,8,142.4,18.2,43,91.4,10.6,4.9,0.0,8
94,638.8,8,103.2,23.4,22,91.1,5.8,2.7,0.0,8
95,704.4,9,90.0,17.8,64,89.7,4.8,1.3,0.0,4
96,30.2,2,8.0,12.7,48,83.9,2.6,1.8,0.0,3
97,15.5,3,2.4,17.4,24,69.0,0.7,5.4,0.0,3
98,601.4,8,142.4,11.6,87,91.4,10.6,4.5,0.0,3
99,601.4,8,142.4,19.8,39,91.4,10.6,5.4,0.0,3
100,601.4,8,142.4,19.8,39,91.4,10.6,5.4,0.0,3
101,614.5,8,147.3,14.4,66,88.8,9.0,5.4,0.0,3
102,647.1,8,108.3,20.1,40,94.8,17.0,4.0,0.0,2
103,674.4,9,121.1,24.1,29,92.5,8.6,4.5,0.0,2
104,9.3,1,3.7,5.3,78,82.1,2.9,3.1,0.0,2
105,57.3,3,19.5,12.7,52,85.9,2.8,6.3,0.0,4
106,74.3,3,30.7,18.2,29,91.4,7.5,3.1,0.0,4
107,631.2,8,99.6,21.4,33,90.2,6.3,3.1,0.0,4
108,698.6,9,88.0,20.3,45,92.5,7.1,3.1,0.0,4
109,709.9,9,91.8,17.4,56,88.6,7.1,5.4,0.0,4
110,57.3,3,19.5,13.7,43,85.9,2.8,5.8,0.0,4
111,77.5,3,33.3,18.8,18,91.7,9.0,4.5,0.0,3
112,704.4,9,90.0,22.8,39,89.7,4.8,3.6,0.0,3
113,724.3,9,78.5,18.9,35,91.8,9.2,2.7,0.0,3
114,67.6,3,25.7,15.8,27,88.1,3.8,7.6,0.0,3
115,67.6,3,25.7,15.5,27,88.1,3.8,6.3,0.0,3
116,80.8,3,35.8,11.6,30,91.7,7.8,6.3,0.0,3
117,80.8,3,35.8,15.2,27,91.7,7.8,4.9,0.0,3
118,86.6,3,39.7,10.6,30,90.1,6.2,4.0,0.0,3
119,466.6,8,75.3,19.6,36,93.0,7.7,3.1,0.0,3
120,608.2,8,145.4,10.3,74,91.5,10.7,2.2,0.0,3
121,608.2,8,145.4,17.1,43,91.5,10.7,5.4,0.0,3
122,680.7,9,124.1,22.5,42,92.4,8.5,5.4,0.0,3
123,671.9,9,73.4,17.9,45,84.4,3.2,3.1,0.0,3
124,692.3,9,85.1,19.8,50,94.3,15.9,5.4,0.0,3
125,691.8,10,46.5,20.6,24,92.6,8.8,5.4,0.0,3
126,103.8,3,52.2,9.0,49,87.6,5.0,2.2,0.0,3
127,728.6,9,149.3,17.2,43,93.5,8.1,3.1,0.0,3
128,673.8,10,37.9,15.9,46,91.4,5.2,3.6,0.0,3
129,691.8,10,46.5,15.4,35,92.6,8.8,0.9,0.0,2
130,87.2,2,21.5,15.4,40,68.2,0.8,2.7,0.0,4
131,64.7,3,23.9,14.0,39,87.2,4.1,3.1,0.0,4
132,102.2,3,51.3,10.6,46,89.3,9.6,4.9,0.0,4
133,685.2,9,80.9,17.6,42,93.7,17.9,3.1,0.0,4
134,67.6,3,25.7,14.9,38,88.1,3.8,2.7,0.0,3
135,594.2,8,139.4,17.6,52,93.5,20.3,5.8,0.0,3
136,680.7,9,124.1,17.2,58,92.4,8.5,1.3,0.0,3
137,686.5,9,126.5,15.6,66,90.9,7.0,3.1,0.0,3
138,313.4,7,48.3,18.0,42,85.8,3.9,2.7,0.0,9
139,692.6,9,129.5,21.7,38,91.0,7.0,2.2,0.0,1
140,686.5,9,126.5,21.9,39,90.9,7.0,1.8,0.0,2
141,513.3,8,99.9,23.3,31,95.5,13.2,4.5,0.0,1
142,529.8,8,108.0,21.2,51,90.1,12.5,8.9,0.0,8
143,296.3,7,51.3,16.6,53,90.0,8.7,5.4,0.0,1
144,513.3,8,99.9,23.8,32,95.5,13.2,5.4,0.0,2
145,578.8,8,131.7,27.4,22,95.2,10.4,4.0,0.0,6
146,86.6,3,39.7,13.2,40,90.1,6.2,5.4,0.0,5
147,671.9,9,73.4,24.2,28,84.4,3.2,3.6,0.0,8
148,647.1,8,108.3,17.4,43,94.8,17.0,6.7,0.0,2
149,685.2,9,80.9,23.7,25,93.7,17.9,4.5,0.0,8
150,433.3,6,56.4,23.2,39,92.5,7.1,5.4,0.0,6
151,355.2,7,68.6,24.8,29,90.1,7.2,2.2,0.0,9
152,424.1,7,51.2,24.6,43,90.1,6.2,1.8,0.0,3
153,692.3,9,85.1,20.1,47,94.3,15.9,4.9,0.0,5
154,721.4,9,145.4,29.6,27,93.4,8.1,2.7,0.0,1
155,647.1,8,108.3,16.4,47,94.8,17.0,1.3,0.0,7
156,721.4,9,145.4,28.6,27,93.4,8.1,2.2,0.0,2
157,654.1,8,111.2,18.4,45,92.1,9.6,3.6,0.0,2
158,654.1,8,111.2,20.5,35,92.1,9.6,4.0,0.0,2
159,668.0,9,117.9,19.0,34,92.4,12.2,5.8,0.0,7
160,86.6,3,39.7,16.1,29,90.1,6.2,3.1,0.0,7
161,578.8,8,131.7,20.3,41,95.2,10.4,4.0,0.0,6
162,100.4,3,50.1,15.2,31,90.6,7.8,8.5,0.0,6
163,674.4,9,121.1,17.8,56,92.5,8.6,1.8,0.0,8
164,704.4,9,90.0,17.8,67,89.7,4.8,2.2,0.0,8
165,55.0,3,18.2,5.3,70,84.9,3.0,4.5,0.0,6
166,654.1,8,111.2,16.6,47,92.1,9.6,0.9,0.0,6
167,570.5,8,127.1,23.4,33,96.0,16.5,4.5,0.0,6
168,97.8,3,48.3,14.6,26,91.2,12.5,9.4,0.0,6
169,578.8,8,131.7,20.7,45,95.2,10.4,2.2,0.0,8
170,699.6,9,133.3,21.9,35,92.9,9.2,1.8,0.0,5
171,609.6,8,90.4,17.4,50,85.6,6.6,4.0,0.0,8
172,601.4,8,142.4,20.1,39,91.4,10.6,5.4,0.0,7
173,686.5,9,126.5,17.7,39,90.9,7.0,2.2,0.0,4
174,624.2,8,96.9,14.2,53,90.2,8.9,1.8,0.0,1
175,624.2,8,96.9,20.3,39,90.2,8.9,4.9,0.0,1
176,55.2,4,9.1,5.8,54,81.5,2.7,5.8,0.0,6
177,631.2,8,99.6,19.2,44,90.2,6.3,2.7,0.0,2
178,735.7,9,82.9,18.3,45,90.1,6.2,2.2,0.0,2
179,614.5,8,147.3,14.4,66,88.8,9.0,5.4,0.0,8
180,680.7,9,124.1,23.9,32,92.4,8.5,6.7,0.0,1
181,664.2,10,32.8,19.1,32,84.9,3.0,4.0,0.0,8
182,48.3,2,15.6,12.4,53,86.8,3.9,2.2,0.0,5
183,696.1,10,48.5,16.8,45,91.7,11.1,4.5,0.0,7
184,586.7,8,135.7,20.8,34,93.9,15.1,4.9,0.0,8
185,692.6,9,129.5,17.6,46,91.0,7.0,3.1,0.0,2
186,102.2,3,51.3,11.5,39,89.3,9.6,5.8,0.0,8
187,686.5,9,126.5,21.0,42,90.9,7.0,2.2,0.0,1
188,89.4,3,41.9,13.3,42,90.8,7.9,0.9,0.0,6
189,92.4,3,44.0,11.5,60,90.7,5.5,4.0,0.0,7
190,97.8,3,48.3,11.7,33,91.2,12.5,4.0,0.0,6
191,578.8,8,131.7,24.2,28,95.2,10.4,2.7,0.0,2
192,647.1,8,108.3,24.6,22,94.8,17.0,4.5,0.0,2
193,699.6,9,133.3,24.3,25,92.9,9.2,4.0,0.0,4
194,647.1,8,108.3,24.6,22,94.8,17.0,4.5,0.0,2
195,586.7,8,135.7,23.5,36,93.9,15.1,5.4,0.0,2
196,55.2,4,9.1,5.8,54,81.5,2.7,5.8,0.0,6
197,706.4,9,137.0,21.5,15,92.9,9.2,0.9,0.0,4
198,692.6,9,129.5,13.9,59,91.0,7.0,6.3,0.0,3
199,665.3,9,70.8,22.6,38,63.5,0.8,3.6,0.0,2
200,692.6,9,129.5,21.6,33,91.0,7.0,2.2,0.0,1
201,83.7,3,37.6,12.4,54,90.1,7.2,3.6,0.0,6
202,32.1,2,8.7,8.8,68,83.9,2.1,2.2,0.0,7
203,673.8,10,37.9,20.2,37,91.4,5.2,2.7,0.0,8
204,100.4,3,50.1,15.1,64,90.6,7.8,4.0,0.0,5
205,706.4,9,137.0,22.1,34,92.9,9.2,1.8,0.0,4
206,594.2,8,139.4,22.9,31,93.5,20.3,7.2,0.0,2
207,692.6,9,129.5,20.7,37,91.0,7.0,2.2,0.0,7
208,668.0,9,117.9,19.6,33,92.4,12.2,6.3,0.0,6
209,685.2,9,80.9,23.2,26,93.7,17.9,4.9,0.0,8
210,686.9,10,43.7,18.4,25,90.6,6.7,3.1,0.0,4
211,594.2,8,139.4,5.1,96,93.5,20.3,5.8,0.0,7
212,692.3,9,85.1,20.1,47,94.3,15.9,4.9,0.0,7
213,103.8,3,52.2,11.0,46,87.6,5.0,5.8,0.0,7
214,80.8,3,35.8,17.0,27,91.7,7.8,4.9,0.0,4
215,80.8,3,35.8,17.0,27,91.7,7.8,4.9,0.0,4
216,680.7,9,124.1,16.9,60,92.4,8.5,1.3,0.0,4
217,709.9,9,91.8,12.4,73,88.6,7.1,6.3,0.0,1
218,699.6,9,133.3,19.4,19,92.9,9.2,1.3,0.0,4
219,86.6,3,39.7,15.2,27,90.1,6.2,3.1,0.0,6
220,631.2,8,99.6,16.2,59,90.2,6.3,3.1,0.0,8
221,713.9,9,141.2,18.6,49,93.3,13.9,3.6,0.0,3
222,103.8,3,52.2,11.0,46,87.6,5.0,5.8,0.0,4
223,309.9,7,150.3,13.4,79,88.3,6.8,3.6,0.0,2
224,735.7,9,82.9,15.4,57,90.1,6.2,4.5,0.0,7
225,728.6,9,149.3,22.9,39,93.5,8.1,4.9,0.0,4
226,696.1,10,48.5,16.1,44,91.7,11.1,4.0,0.0,7
227,480.8,8,81.8,20.1,34,92.2,11.9,4.5,0.0,8
228,728.6,9,149.3,28.3,26,93.5,8.1,3.1,0.0,4
229,480.8,8,81.8,16.4,43,92.2,11.9,4.0,0.0,8
230,699.6,9,133.3,26.4,21,92.9,9.2,4.5,0.0,4
231,728.6,9,149.3,27.8,27,93.5,8.1,3.1,0.0,1
232,692.6,9,129.5,18.7,43,91.0,7.0,2.7,0.0,6
233,671.9,9,73.4,24.3,36,84.4,3.2,3.1,0.0,9
234,674.4,9,121.1,17.7,25,92.5,8.6,3.1,0.0,4
235,601.4,8,142.4,19.6,41,91.4,10.6,5.8,0.0,8
236,674.4,9,121.1,18.2,46,92.5,8.6,1.8,0.0,2
237,692.6,9,129.5,18.8,40,91.0,7.0,2.2,0.0,1
238,674.4,9,121.1,25.1,27,92.5,8.6,4.0,0.0,6
239,7.9,4,3.0,13.4,75,81.9,3.5,1.8,0.0,7
240,43.5,4,17.2,15.2,51,88.0,3.8,2.7,0.0,6
241,85.3,4,23.3,16.7,20,83.0,2.3,3.1,0.0,4
242,589.9,8,122.3,15.4,66,94.2,12.9,4.0,0.0,2
243,700.7,8,175.1,21.9,73,91.8,13.8,7.6,1.0,7
244,700.7,8,175.1,22.4,54,91.8,13.8,7.6,0.0,2
245,700.7,8,175.1,26.8,38,91.8,13.8,6.3,0.0,3
246,700.7,8,175.1,25.7,39,91.8,13.8,5.4,0.0,5
247,503.6,8,91.6,20.7,70,92.2,9.6,2.2,0.0,2
248,666.7,8,157.3,28.7,28,93.1,13.5,2.7,0.0,8
249,666.7,8,157.3,21.7,40,93.1,13.5,0.4,0.0,3
250,666.7,8,157.3,26.8,25,93.1,13.5,3.1,0.0,8
251,666.7,8,157.3,24.0,36,93.1,13.5,3.1,0.0,8
252,666.7,8,157.3,22.1,37,93.1,13.5,3.6,0.0,6
253,565.5,8,109.2,21.4,38,91.9,8.0,2.7,0.0,7
254,621.7,8,138.1,18.9,41,91.6,6.3,3.1,0.0,6
255,694.8,8,77.0,22.3,46,87.5,5.0,4.0,0.0,2
256,581.1,8,117.2,23.9,41,94.2,11.0,2.2,0.0,8
257,581.1,8,117.2,21.4,44,94.2,11.0,2.7,0.0,4
258,692.3,8,170.9,20.6,59,91.8,13.7,0.9,0.0,3
259,692.3,8,170.9,23.7,40,91.8,13.7,1.8,0.0,7
260,542.0,8,97.9,28.3,32,93.6,14.4,4.0,0.0,2
261,573.0,8,112.4,11.2,84,91.6,8.9,7.6,0.0,3
262,573.0,8,112.4,21.4,42,91.6,8.9,3.1,0.0,2
263,629.1,8,141.1,19.3,39,91.1,7.1,3.6,0.0,6
264,684.4,8,167.6,21.8,53,94.3,13.0,3.1,0.0,4
265,550.3,8,102.2,22.1,54,93.7,14.6,7.6,0.0,4
266,607.1,8,131.7,19.4,55,94.3,22.7,4.0,0.0,6
267,658.2,8,152.6,23.7,24,92.1,14.3,3.1,0.0,2
268,658.2,8,152.6,21.0,32,92.1,14.3,3.1,0.0,3
269,658.2,8,152.6,19.1,53,92.1,14.3,2.7,0.0,4
270,658.2,8,152.6,21.8,56,92.1,14.3,3.1,0.0,2
271,658.2,8,152.6,20.1,58,92.1,14.3,4.5,0.0,8
272,658.2,8,152.6,20.2,47,92.1,14.3,4.0,0.0,2
273,353.5,12,27.2,4.8,57,84.4,6.8,8.5,0.0,4
274,354.6,12,27.8,5.1,61,84.0,5.3,8.0,0.0,8
275,352.0,12,26.4,5.1,61,84.6,2.0,4.9,0.0,4
276,349.7,12,25.4,4.6,21,85.4,2.6,8.5,0.0,4
277,349.7,12,25.4,4.6,21,85.4,2.6,8.5,0.0,3
278,349.7,12,25.4,4.6,21,85.4,2.6,8.5,0.0,4
279,349.7,12,25.4,4.6,21,85.4,2.6,8.5,0.0,4
280,352.6,12,26.7,2.2,59,84.7,4.1,4.9,0.0,4
281,349.7,12,25.4,5.1,24,85.4,2.6,8.5,0.0,6
282,353.5,2,27.5,4.2,51,84.9,3.4,4.0,0.0,6
283,18.7,2,6.6,8.8,35,86.9,3.2,3.1,0.0,3
284,15.8,2,4.9,7.5,46,85.2,6.3,8.0,0.0,5
285,411.8,7,169.7,23.4,40,93.9,12.3,6.3,0.0,2
286,437.7,7,183.1,12.6,90,91.2,12.5,7.6,0.2,7
287,474.9,7,104.2,22.1,49,91.6,9.0,2.7,0.0,7
288,474.9,7,104.2,24.2,32,91.6,9.0,1.8,0.0,7
289,474.9,7,104.2,24.3,30,91.6,9.0,1.8,0.0,7
290,474.9,7,104.2,18.7,53,91.6,9.0,1.8,0.0,2
291,474.9,7,104.2,25.3,39,91.6,9.0,0.9,0.0,9
292,466.3,7,100.2,22.9,40,91.6,6.3,1.3,0.0,4
293,430.8,7,180.4,26.9,28,93.1,11.0,5.4,0.0,7
294,440.9,7,88.8,17.1,67,92.3,8.5,3.6,0.0,8
295,430.8,6,180.4,22.2,48,93.1,11.0,1.3,0.0,7
296,290.8,6,89.5,14.3,46,90.4,6.4,1.8,0.0,6
297,290.8,6,89.5,15.4,45,90.4,6.4,2.2,0.0,8
298,377.2,6,147.8,19.6,43,91.2,12.7,4.9,0.0,8
299,233.8,6,71.0,10.6,90,53.4,0.4,2.7,0.0,6
300,298.1,6,93.3,20.7,25,90.4,7.5,4.9,0.0,6
301,298.1,6,93.3,19.1,39,90.4,7.5,5.4,0.0,6
302,232.1,6,94.1,19.2,38,91.1,7.1,4.5,0.0,3
303,232.1,6,94.1,19.2,38,91.1,7.1,4.5,0.0,3
304,113.8,5,28.0,11.3,94,85.1,3.5,4.9,0.0,6
305,714.3,9,84.1,19.0,52,89.6,5.7,2.2,0.0,1
306,714.3,9,84.1,17.1,53,89.6,5.7,5.4,0.0,7
307,714.3,9,84.1,23.8,35,89.6,5.7,3.6,0.0,3
308,758.1,9,105.8,16.0,45,92.4,9.9,1.8,0.0,2
309,758.1,9,105.8,24.9,27,92.4,9.9,2.2,0.0,2
310,758.1,9,105.8,25.3,27,92.4,9.9,2.7,0.0,7
311,758.1,9,105.8,24.8,28,92.4,9.9,1.8,0.0,6
312,706.6,9,46.2,12.2,78,50.4,0.4,6.3,0.0,2
313,777.1,9,115.4,24.3,27,92.6,8.8,4.9,0.0,6
314,777.1,9,115.4,19.7,41,92.6,8.8,1.8,0.0,4
315,817.5,9,134.7,18.5,30,91.2,7.2,2.7,0.0,3
316,739.4,9,96.2,18.6,24,92.4,8.6,5.8,0.0,4
317,739.4,9,96.2,19.2,24,92.4,8.6,4.9,0.0,4
318,783.5,9,119.0,21.6,27,92.8,7.5,2.2,0.0,6
319,783.5,9,119.0,21.6,28,92.8,7.5,6.3,0.0,5
320,783.5,9,119.0,18.9,34,92.8,7.5,7.2,0.0,6
321,783.5,9,119.0,16.8,28,92.8,7.5,4.0,0.0,1
322,783.5,9,119.0,16.8,28,92.8,7.5,4.0,0.0,6
323,822.8,9,136.9,12.9,39,90.7,6.8,2.7,0.0,3
324,726.9,9,53.3,13.7,56,88.1,5.4,1.8,0.0,6
325,751.5,9,102.3,24.2,27,92.2,8.4,3.1,0.0,1
326,751.5,9,102.3,24.1,27,92.2,8.4,3.1,0.0,5
327,751.5,9,102.3,21.2,32,92.2,8.4,2.2,0.0,6
328,751.5,9,102.3,19.7,35,92.2,8.4,1.8,0.0,6
329,751.5,9,102.3,23.5,27,92.2,8.4,4.0,0.0,4
330,751.5,9,102.3,24.2,27,92.2,8.4,3.1,0.0,3
331,795.3,9,124.4,21.5,28,91.2,8.5,4.5,0.0,7
332,795.3,9,124.4,17.1,41,91.2,8.5,2.2,0.0,4
333,721.1,9,87.7,18.1,54,92.1,9.5,3.1,0.0,1
334,764.0,9,108.4,18.0,51,91.6,6.2,5.4,0.0,2
335,764.0,9,108.4,9.8,86,91.6,6.2,1.8,0.0,4
336,764.0,9,108.4,19.3,44,91.6,6.2,2.2,0.0,7
337,764.0,9,108.4,23.0,34,91.6,6.2,2.2,0.0,6
338,764.0,9,108.4,22.7,35,91.6,6.2,2.2,0.0,8
339,764.0,9,108.4,20.4,41,91.6,6.2,1.8,0.0,2
340,764.0,9,108.4,19.3,44,91.6,6.2,2.2,0.0,2
341,770.3,9,111.7,15.7,51,91.9,6.5,2.2,0.0,8
342,807.1,9,130.1,20.6,37,91.5,7.5,1.8,0.0,6
343,807.1,9,130.1,15.9,51,91.5,7.5,4.5,0.0,8
344,807.1,9,130.1,12.2,66,91.5,7.5,4.9,0.0,6
345,807.1,9,130.1,16.8,43,91.5,7.5,3.1,0.0,2
346,807.1,9,130.1,21.3,35,91.5,7.5,2.2,0.0,1
347,745.3,9,99.0,10.1,75,92.1,9.6,3.6,0.0,5
348,745.3,9,99.0,17.4,57,92.1,9.6,4.5,0.0,3
349,745.3,9,99.0,12.8,64,92.1,9.6,3.6,0.0,5
350,745.3,9,99.0,10.1,75,92.1,9.6,3.6,0.0,5
351,745.3,9,99.0,15.4,53,92.1,9.6,6.3,0.0,4
352,745.3,9,99.0,20.6,43,92.1,9.6,3.6,0.0,7
353,745.3,9,99.0,19.8,47,92.1,9.6,2.7,0.0,7
354,745.3,9,99.0,18.7,50,92.1,9.6,2.2,0.0,7
355,745.3,9,99.0,20.8,35,92.1,9.6,4.9,0.0,4
356,745.3,9,99.0,20.8,35,92.1,9.6,4.9,0.0,4
357,789.7,9,122.0,15.9,55,92.5,10.2,3.6,0.0,6
358,789.7,9,122.0,19.7,39,92.5,10.2,2.7,0.0,6
359,789.7,9,122.0,21.1,39,92.5,10.2,2.2,0.0,1
360,789.7,9,122.0,18.4,42,92.5,10.2,2.2,0.0,6
361,789.7,9,122.0,17.3,45,92.5,10.2,4.0,0.0,4
362,732.3,9,55.2,15.2,64,88.2,11.6,3.1,0.0,7
363,770.3,9,111.7,15.9,53,91.9,6.5,2.2,0.0,4
364,770.3,9,111.7,21.1,35,91.9,6.5,2.7,0.0,6
365,770.3,9,111.7,19.6,45,91.9,6.5,3.1,0.0,6
366,812.1,9,132.3,15.9,38,91.1,12.5,5.4,0.0,4
367,812.1,9,132.3,16.4,27,91.1,12.5,3.6,0.0,4
368,744.4,9,94.3,16.8,47,91.2,8.4,4.9,0.0,6
369,825.1,9,276.3,13.8,77,91.0,7.1,7.6,0.0,4
370,825.1,9,276.3,13.8,77,91.0,7.1,7.6,0.0,7
371,520.5,7,133.6,14.2,58,91.9,8.0,4.0,0.0,3
372,664.5,8,203.2,10.4,75,92.0,8.1,0.9,0.0,4
373,698.6,8,222.4,20.3,42,94.8,13.9,2.7,0.0,5
374,855.3,9,290.0,10.3,78,90.3,7.4,4.0,0.0,6
375,744.4,9,94.3,15.4,57,91.2,8.4,4.9,0.0,6
376,672.6,8,207.0,21.1,54,92.1,8.2,2.2,0.0,8
377,715.1,8,231.1,21.9,42,93.7,8.4,2.2,0.0,2
378,30.6,3,18.9,8.7,51,90.9,8.0,5.8,0.0,6
379,171.4,1,1.1,5.2,100,18.7,0.0,0.9,0.0,4
380,458.8,7,101.3,19.3,39,93.7,11.9,7.2,0.0,5
381,643.0,8,194.1,16.2,63,90.7,6.8,2.7,0.0,8
382,690.0,8,217.7,28.2,29,95.2,18.0,1.8,0.0,8
383,753.8,8,248.4,20.5,58,91.6,6.3,2.7,0.0,9
384,819.1,8,273.8,21.3,44,91.6,7.7,4.5,0.0,8
385,613.0,8,181.3,20.9,50,91.6,7.6,2.2,0.0,2
386,750.5,9,96.7,20.6,55,90.5,11.4,5.4,0.0,3
